"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","28620","User creates business flow for AUTOTEST 10 process","","Tue Aug 05 19:40:15 IST 2025","broken","Tue Aug 05 19:40:43 IST 2025","","Chorus New BA Test","",""
"","25044","User creates business flow for AUTOTEST 10 case","","Thu Aug 07 19:54:26 IST 2025","passed","Thu Aug 07 19:54:51 IST 2025","","Chorus New BA Test","",""
"","17293","User creates business flow for AUTOTEST 4 process","","Thu Aug 07 18:48:18 IST 2025","passed","Thu Aug 07 18:48:35 IST 2025","","Chorus New BA Test","",""
"","55370","User launch SSC Portal and check the home page 2","","Thu Aug 07 19:47:30 IST 2025","passed","Thu Aug 07 19:48:25 IST 2025","","Chorus New BA Test","",""
"","31574","User creates business flow for AUTOTEST 3 process","","Thu Aug 07 19:43:03 IST 2025","failed","Thu Aug 07 19:43:35 IST 2025","","Chorus New BA Test","",""
"","18555","User launch SSC Portal and check the home page 1","","Thu Aug 07 19:35:35 IST 2025","passed","Thu Aug 07 19:35:54 IST 2025","","Chorus New BA Test","",""
